Aspergillus terreus NIH2624	341663		Aspergillus terreus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_terr_NIH2624	aspeTerr_NIH2624
Batrachochytrium dendrobatidis JAM81	684364		Batrachochytrium dendrobatidis	Batrachochytrium		Rhizophydiales		Chytridiomycetes		Chytridiomycota		Fungi	Batr_dend_JAM81	batrDend_JAM81
Batrachochytrium dendrobatidis JEL423	403673		Batrachochytrium dendrobatidis	Batrachochytrium		Rhizophydiales		Chytridiomycetes		Chytridiomycota		Fungi	Batr_dend_JEL423	batrDend_JEL423
Baudoinia panamericana UAMH 10762	717646		Baudoinia panamericana	Baudoinia	Teratosphaeriaceae	Capnodiales	Dothideomycetidae	Dothideomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Baud_comp_UAMH_10762	baudComp_UAMH_10762
Beauveria bassiana ARSEF 2860	655819		Beauveria bassiana	Beauveria	Cordycipitaceae	Hypocreales	Hypocreomycetidae	Sordariomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Beau_bass_ARSEF_2860	beauBass_ARSEF_2860
Bipolaris maydis ATCC 48331	665024		Bipolaris maydis	Bipolaris	Pleosporaceae	Pleosporales	Pleosporomycetidae	Dothideomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Bipo_mayd_ATCC_48331	bipoMayd_ATCC48331
Bipolaris maydis C5	701091		Bipolaris maydis	Bipolaris	Pleosporaceae	Pleosporales	Pleosporomycetidae	Dothideomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Bipo_mayd_C5	bipoMayd_C5
Bipolaris sorokiniana ND90Pr	665912		Bipolaris sorokiniana	Bipolaris	Pleosporaceae	Pleosporales	Pleosporomycetidae	Dothideomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Bipo_soro_ND90Pr	bipoSoro_ND90PR
Blastomyces dermatitidis ATCC 18187	946394		Blastomyces dermatitidis	Blastomyces	Ajellomycetaceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blas_derm_ATCC_18187	blasDerm_ATCC18187
Blastomyces dermatitidis ATCC 18188	653446		Blastomyces dermatitidis	Blastomyces	Ajellomycetaceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blas_derm_ATCC_18188	blasDerm_ATCC18188
